left,right,distance,same_patient_group
disease_001633_57d5270c,disease_011022_f02967f1,0,True
disease_001634_7c599390,disease_011022_f02967f1,0,True
disease_001635_39cf4ef2,disease_000014_ac6fa597,0,True
disease_001636_be3e4b1a,disease_000015_21711163,0,True
disease_001637_249a961b,disease_001638_ae364524,2,True
disease_001637_249a961b,disease_001639_26b6c44c,0,True
disease_001638_ae364524,disease_001639_26b6c44c,2,True
disease_001640_89546115,disease_000016_b1c73d62,0,True
disease_001641_08f38c37,disease_001642_41e8ce3c,0,True
disease_001641_08f38c37,disease_001643_af759a34,0,True
disease_001641_08f38c37,disease_011025_da2883c0,0,True
disease_001641_08f38c37,disease_011026_2b04aa44,0,True
disease_001642_41e8ce3c,disease_001643_af759a34,0,True
disease_001642_41e8ce3c,disease_011025_da2883c0,0,True
disease_001642_41e8ce3c,disease_011026_2b04aa44,0,True
disease_001643_af759a34,disease_011025_da2883c0,0,True
disease_001643_af759a34,disease_011026_2b04aa44,0,True
disease_001644_2957df5b,disease_001645_a6c706cd,0,True
disease_001644_2957df5b,disease_001646_81bab73f,2,True
disease_001644_2957df5b,disease_001647_a9dfbdd3,0,True
disease_001645_a6c706cd,disease_001646_81bab73f,2,True
disease_001645_a6c706cd,disease_001647_a9dfbdd3,0,True
disease_001646_81bab73f,disease_001647_a9dfbdd3,2,True
disease_001648_a8165beb,disease_000017_4a485476,0,True
disease_001649_f34bcdab,disease_000018_35b7390b,0,True
disease_001650_6cd930f3,disease_000019_ea1dc8d0,0,True
disease_001651_5cba5834,disease_011029_c9de9b1e,0,True
disease_001652_830215ab,disease_001653_ada92dc4,0,True
disease_001652_830215ab,disease_001654_da0e5d23,2,True
disease_001653_ada92dc4,disease_001654_da0e5d23,2,True
disease_001655_ce0ed1a6,disease_000020_ca15db2b,0,True
disease_001656_41a82407,disease_001657_f1815557,2,True
disease_001656_41a82407,disease_001658_b1520f42,0,True
disease_001657_f1815557,disease_001658_b1520f42,2,True
disease_001659_ab202982,disease_000021_6c667178,0,True
disease_001660_5de9ffc1,disease_000022_775bf41b,0,True
disease_001661_5f3c02cc,disease_000023_a1370f1a,0,True
disease_001662_c7d6d846,disease_001663_83fb2af7,2,True
disease_001662_c7d6d846,disease_001664_d75eb6e7,0,True
disease_001663_83fb2af7,disease_001664_d75eb6e7,2,True
disease_001665_71335e4b,disease_001666_5664e3f2,2,True
disease_001665_71335e4b,disease_001667_15f15ea7,0,True
disease_001666_5664e3f2,disease_001667_15f15ea7,2,True
disease_001668_aa50c4a2,disease_001669_40223943,0,True
disease_001668_aa50c4a2,disease_001670_0c926352,0,True
disease_001669_40223943,disease_001670_0c926352,0,True
disease_001671_e90b37f8,disease_011034_3201c739,0,True
disease_001672_1b8b4d70,disease_011035_c6a19a42,0,True
disease_001673_24120c1a,disease_011036_057ed455,0,True
disease_001674_b7663ac4,disease_011037_a305b6ee,0,True
disease_001675_bf7a0842,disease_001676_4dcb80aa,0,True
disease_001675_bf7a0842,disease_001677_7ac12837,0,True
disease_001676_4dcb80aa,disease_001677_7ac12837,0,True
disease_001678_56e0eab8,disease_000024_4b28bb7a,0,True
disease_001679_ba48e251,disease_000025_ea2f1794,0,True
disease_001680_135f68ae,disease_000026_95e4c491,0,True
disease_001681_024ff052,disease_011038_88a85377,2,True
disease_001682_daf5429e,disease_000027_6fbebede,0,True
disease_001683_4ebd2945,disease_011039_4c947327,0,True
disease_001684_cc176584,disease_011040_eee1d80d,0,True
disease_001685_88723ccb,disease_000028_88e4bd84,0,True
disease_001686_2cae793e,disease_011041_8309b8ff,0,True
disease_001687_a338d052,disease_001688_63203901,2,True
disease_001688_63203901,disease_001689_23d196bf,2,True
disease_001690_06c9c70a,disease_000029_d81fbbb4,0,True
disease_001691_88d8d4af,disease_001692_5ac0b35b,0,True
disease_001691_88d8d4af,disease_001693_c0598a2b,0,True
disease_001692_5ac0b35b,disease_001693_c0598a2b,0,True
disease_001694_73a8049b,disease_000030_663d9125,0,True
disease_001695_35048086,disease_011044_c819b584,0,True
disease_001696_dc1a437e,disease_000031_834cb092,0,True
disease_001697_ef33ef6a,disease_001698_d9f5262c,0,True
disease_001697_ef33ef6a,disease_001699_8a1b862c,0,True
disease_001697_ef33ef6a,disease_001700_2d8222bb,0,True
disease_001697_ef33ef6a,disease_011045_707aa327,0,True
disease_001698_d9f5262c,disease_001699_8a1b862c,0,True
disease_001698_d9f5262c,disease_001700_2d8222bb,0,True
disease_001698_d9f5262c,disease_011045_707aa327,0,True
disease_001699_8a1b862c,disease_001700_2d8222bb,0,True
disease_001699_8a1b862c,disease_011045_707aa327,0,True
disease_001700_2d8222bb,disease_011045_707aa327,0,True
disease_001701_6e873223,disease_001702_226437b6,0,True
disease_001703_c3aa53c3,disease_001704_511e5ddc,2,True
disease_001703_c3aa53c3,disease_001705_526f781a,0,True
disease_001704_511e5ddc,disease_001705_526f781a,2,True
disease_001706_3537c522,disease_000032_3d86066e,0,True
disease_001707_6ed1b8a9,disease_000033_052e5216,0,True
disease_001708_1a10b1c7,disease_011046_79f9ffc3,0,True
disease_001709_d077df6a,disease_011047_7a24eb18,0,True
disease_001710_940bf8c6,disease_011048_f60ca921,0,True
disease_001711_8e315c4d,disease_000034_a45067fc,0,True
disease_001712_9630d20f,disease_000035_81a4b96c,0,True
disease_001713_e09721ee,disease_000036_b489cf0f,0,True
disease_001714_d8367155,disease_001715_aa986319,2,True
disease_001714_d8367155,disease_001716_eab7c1f0,0,True
disease_001715_aa986319,disease_001716_eab7c1f0,2,True
disease_001717_f6522325,disease_001718_fca279f8,0,True
disease_001717_f6522325,disease_001719_2322a3b4,0,True
disease_001718_fca279f8,disease_001719_2322a3b4,0,True
disease_001720_796d5333,disease_000037_23056c71,0,True
disease_001721_e59aa113,disease_011051_4ab3f65f,0,True
disease_001722_b6be7667,disease_001723_6c3ee3b2,0,True
disease_001722_b6be7667,disease_001724_7c586140,2,True
disease_001723_6c3ee3b2,disease_001724_7c586140,2,True
disease_001725_7185468d,disease_001726_8bbb5da3,0,True
disease_001725_7185468d,disease_001727_4ee64dc5,0,True
disease_001725_7185468d,disease_001728_68f8b32a,0,True
disease_001725_7185468d,disease_011056_857569bb,0,True
disease_001726_8bbb5da3,disease_001727_4ee64dc5,0,True
disease_001726_8bbb5da3,disease_001728_68f8b32a,0,True
disease_001726_8bbb5da3,disease_011056_857569bb,0,True
disease_001727_4ee64dc5,disease_001728_68f8b32a,0,True
disease_001727_4ee64dc5,disease_011056_857569bb,0,True
disease_001728_68f8b32a,disease_011056_857569bb,0,True
disease_001729_f627b880,disease_011059_b43f001f,0,True
disease_001730_85b3d3f9,disease_011060_0a9c345e,0,True
disease_001731_e91162c7,disease_000038_911e649a,0,True
disease_001732_eda75ca8,disease_011061_65bc3398,0,True
disease_001733_58e80863,disease_001734_0308d646,0,True
disease_001733_58e80863,disease_001735_59f09a24,0,True
disease_001734_0308d646,disease_001735_59f09a24,0,True
disease_001736_da7c2b62,disease_000039_6d3ecf12,0,True
disease_001737_08fc65d5,disease_001738_b48a1df5,0,True
disease_001737_08fc65d5,disease_001739_fcba5e97,2,True
disease_001738_b48a1df5,disease_001739_fcba5e97,2,True
disease_001740_d7e14f15,disease_001741_6ff49321,0,True
disease_001740_d7e14f15,disease_001742_348eb49c,0,True
disease_001741_6ff49321,disease_001742_348eb49c,0,True
disease_001743_e55a72ff,disease_000040_598e3218,0,True
disease_001744_07da3885,disease_011062_64564922,0,True
disease_001745_4d5dec92,disease_000041_2e6c76de,0,True
disease_001746_e8afe25c,disease_011063_34a96a68,0,True
disease_001747_bd3bc507,disease_001749_fe74856d,0,True
disease_001750_eee93eb2,disease_011066_7147a409,2,True
disease_001751_835ee0e6,disease_001752_c590e1c7,0,True
disease_001751_835ee0e6,disease_001753_2c69af0f,0,True
disease_001752_c590e1c7,disease_001753_2c69af0f,0,True
disease_001754_418760df,disease_000042_fb535c8a,0,True
disease_001755_640c13c2,disease_011069_8a43d7c8,2,True
disease_001756_ab492591,disease_001757_d201e9e4,0,True
disease_001756_ab492591,disease_001758_881a48df,0,True
disease_001757_d201e9e4,disease_001758_881a48df,0,True
disease_001759_fe456347,disease_000043_f0340263,0,True
disease_001760_bc7eee03,disease_001761_5e5e8cab,0,True
disease_001760_bc7eee03,disease_001762_4d4af465,0,True
disease_001760_bc7eee03,disease_002427_c2860180,2,True
disease_001760_bc7eee03,disease_002428_bf17602f,2,True
disease_001760_bc7eee03,disease_002429_c84ebfea,2,True
disease_001760_bc7eee03,disease_009744_c8d8019f,2,True
disease_001760_bc7eee03,disease_009745_95c15c4f,2,True
disease_001760_bc7eee03,disease_009746_139ce2aa,2,True
disease_001761_5e5e8cab,disease_001762_4d4af465,0,True
disease_001761_5e5e8cab,disease_002427_c2860180,2,True
disease_001761_5e5e8cab,disease_002428_bf17602f,2,True
disease_001761_5e5e8cab,disease_002429_c84ebfea,2,True
disease_001761_5e5e8cab,disease_009744_c8d8019f,2,True
disease_001761_5e5e8cab,disease_009745_95c15c4f,2,True
disease_001761_5e5e8cab,disease_009746_139ce2aa,2,True
disease_001762_4d4af465,disease_002427_c2860180,2,True
disease_001762_4d4af465,disease_002428_bf17602f,2,True
disease_001762_4d4af465,disease_002429_c84ebfea,2,True
disease_001762_4d4af465,disease_009744_c8d8019f,2,True
disease_001762_4d4af465,disease_009745_95c15c4f,2,True
disease_001762_4d4af465,disease_009746_139ce2aa,2,True
disease_001763_66c300f0,disease_001764_8f780e7c,0,True
disease_001763_66c300f0,disease_001765_6e1afa26,0,True
disease_001764_8f780e7c,disease_001765_6e1afa26,0,True
disease_001766_0d9abab7,disease_011074_67fbbfac,0,True
disease_001767_ce252524,disease_011075_753ce7d1,0,True
disease_001768_7ac47de7,disease_000044_1639f458,0,True
disease_001769_c1c0d0b4,disease_000045_4f474c7f,0,True
disease_001770_057597e5,disease_011078_a5efc193,0,True
disease_001771_33b8dc9d,disease_001772_80aa10f3,0,True
disease_001771_33b8dc9d,disease_001773_88054412,0,True
disease_001772_80aa10f3,disease_001773_88054412,0,True
disease_001774_a0a2c2b5,disease_000046_7478eea8,0,True
disease_001775_3daa201d,disease_001776_cd1e1cfe,0,True
disease_001775_3daa201d,disease_001777_a1ee907d,0,True
disease_001776_cd1e1cfe,disease_001777_a1ee907d,0,True
disease_001778_0dc15db8,disease_001779_623f3b05,0,True
disease_001781_502b2032,disease_000047_16ad59b1,0,True
disease_001783_dbe21569,disease_001784_d876ec21,0,True
disease_001783_dbe21569,disease_002724_d66a7677,2,False
disease_001783_dbe21569,disease_000218_517614aa,2,False
disease_001784_d876ec21,disease_002724_d66a7677,2,False
disease_001784_d876ec21,disease_000218_517614aa,2,False
disease_001785_8e2bcd6a,disease_000048_6fc24e76,0,True
disease_001786_740f3ca4,disease_000049_bb6b3457,0,True
disease_001788_1b1fe6cc,disease_001789_edbbb719,0,True
disease_001788_1b1fe6cc,disease_001790_7e3cb96e,0,True
disease_001789_edbbb719,disease_001790_7e3cb96e,0,True
disease_001791_2f2757b1,disease_011089_acdf8c5b,0,True
disease_001792_b2bc643c,disease_000050_8ae19618,2,True
disease_001793_df3bf289,disease_001794_c3b4807f,2,True
disease_001793_df3bf289,disease_001795_63225445,2,True
disease_001794_c3b4807f,disease_001795_63225445,0,True
disease_001796_9227588a,disease_000051_a4bf40f2,0,True
disease_001797_0d514595,disease_001798_ce3fe443,0,True
disease_001797_0d514595,disease_001799_19bcd84a,0,True
disease_001797_0d514595,disease_001800_6478a563,0,True
disease_001797_0d514595,disease_011090_d1a76b43,0,True
disease_001798_ce3fe443,disease_001799_19bcd84a,0,True
disease_001798_ce3fe443,disease_001800_6478a563,0,True
disease_001798_ce3fe443,disease_011090_d1a76b43,0,True
disease_001799_19bcd84a,disease_001800_6478a563,0,True
disease_001799_19bcd84a,disease_011090_d1a76b43,0,True
disease_001800_6478a563,disease_011090_d1a76b43,0,True
disease_001801_1b13d03f,disease_011093_2af6cd22,0,True
disease_001802_2b1d5c3a,disease_001803_c7f6c417,0,True
disease_001802_2b1d5c3a,disease_001804_2dab8364,2,True
disease_001803_c7f6c417,disease_001804_2dab8364,2,True
disease_001805_cf64bf46,disease_011094_f6ebbab1,0,True
disease_001806_d76ffb5d,disease_000052_6b152015,2,True
disease_001807_309df47c,disease_000053_49afa1db,0,True
disease_001809_8da5e381,disease_001810_afbda0ed,0,True
disease_001811_a3567110,disease_001812_e1a380d6,0,True
disease_001811_a3567110,disease_001813_6d2272d9,0,True
disease_001812_e1a380d6,disease_001813_6d2272d9,0,True
disease_001814_f6f12096,disease_000054_655d0289,0,True
disease_001815_a17f0d67,disease_000055_c9f41f87,0,True
